PARTITION           NODELIST            CPUS                GRES                GRES_USED           MEMORY              
short               node544             12                  (null)              gpu:0               24000               
ib                  node545             12                  (null)              gpu:0               24000               
short               node545             12                  (null)              gpu:0               24000               
ib                  node546             12                  (null)              gpu:0               24000               
short               node546             12                  (null)              gpu:0               24000               
ib                  node547             12                  (null)              gpu:0               24000               
short               node547             12                  (null)              gpu:0               24000               
ib                  node548             12                  (null)              gpu:0               24000               
short               node548             12                  (null)              gpu:0               24000               
ib                  node549             12                  (null)              gpu:0               24000               
short               node549             12                  (null)              gpu:0               24000               
ib                  node550             12                  (null)              gpu:0               24000               
short               node550             12                  (null)              gpu:0               24000               
ib                  node551             12                  (null)              gpu:0               24000               
short               node551             12                  (null)              gpu:0               24000               
bigmemwk            shared3             16                  (null)              gpu:0               490000              
bigmem              shared3             16                  (null)              gpu:0               490000              
bluemoon*           shared3             16                  (null)              gpu:0               490000              
short               shared3             16                  (null)              gpu:0               490000              
bigmem              shared4             24                  (null)              gpu:0               1000000             
short               shared4             24                  (null)              gpu:0               1000000             
bigmemwk            shared5             24                  (null)              gpu:0               1000000             
bigmem              shared5             24                  (null)              gpu:0               1000000             
short               shared5             24                  (null)              gpu:0               1000000             
