PARTITION           NODELIST            CPUS                GRES                GRES_USED           MEMORY              
short               node206             24                  (null)              gpu:0               62000               
bluemoon*           node207             24                  (null)              gpu:0               62000               
bigmem              node207             24                  (null)              gpu:0               62000               
short               node207             24                  (null)              gpu:0               62000               
bluemoon*           node208             24                  (null)              gpu:0               62000               
bigmem              node208             24                  (null)              gpu:0               62000               
short               node208             24                  (null)              gpu:0               62000               
bluemoon*           node209             24                  (null)              gpu:0               62000               
bigmem              node209             24                  (null)              gpu:0               62000               
short               node209             24                  (null)              gpu:0               62000               
bluemoon*           node210             24                  (null)              gpu:0               62000               
bigmem              node210             24                  (null)              gpu:0               62000               
short               node210             24                  (null)              gpu:0               62000               
week                node211             24                  (null)              gpu:0               62000               
bluemoon*           node211             24                  (null)              gpu:0               62000               
bigmem              node211             24                  (null)              gpu:0               62000               
short               node211             24                  (null)              gpu:0               62000               
week                node212             24                  (null)              gpu:0               62000               
bluemoon*           node212             24                  (null)              gpu:0               62000               
bigmem              node212             24                  (null)              gpu:0               62000               
short               node212             24                  (null)              gpu:0               62000               
week                node213             24                  (null)              gpu:0               62000               
bluemoon*           node213             24                  (null)              gpu:0               62000               
bigmem              node213             24                  (null)              gpu:0               62000               
short               node213             24                  (null)              gpu:0               62000               
week                node214             24                  (null)              gpu:0               62000               
bluemoon*           node214             24                  (null)              gpu:0               62000               
bigmem              node214             24                  (null)              gpu:0               62000               
short               node214             24                  (null)              gpu:0               62000               
week                node215             24                  (null)              gpu:0               62000               
bluemoon*           node215             24                  (null)              gpu:0               62000               
bigmem              node215             24                  (null)              gpu:0               62000               
short               node215             24                  (null)              gpu:0               62000               
bluemoon*           node216             24                  (null)              gpu:0               62000               
bigmem              node216             24                  (null)              gpu:0               62000               
short               node216             24                  (null)              gpu:0               62000               
bluemoon*           node217             24                  (null)              gpu:0               62000               
bigmem              node217             24                  (null)              gpu:0               62000               
short               node217             24                  (null)              gpu:0               62000               
bluemoon*           node218             24                  (null)              gpu:0               62000               
bigmem              node218             24                  (null)              gpu:0               62000               
short               node218             24                  (null)              gpu:0               62000               
bluemoon*           node219             24                  (null)              gpu:0               62000               
bigmem              node219             24                  (null)              gpu:0               62000               
short               node219             24                  (null)              gpu:0               62000               
bluemoon*           node220             24                  (null)              gpu:0               62000               
bigmem              node220             24                  (null)              gpu:0               62000               
short               node220             24                  (null)              gpu:0               62000               
bluemoon*           node221             24                  (null)              gpu:0               62000               
bigmem              node221             24                  (null)              gpu:0               62000               
short               node221             24                  (null)              gpu:0               62000               
bluemoon*           node222             24                  (null)              gpu:0               62000               
bigmem              node222             24                  (null)              gpu:0               62000               
short               node222             24                  (null)              gpu:0               62000               
bluemoon*           node223             24                  (null)              gpu:0               62000               
bigmem              node223             24                  (null)              gpu:0               62000               
short               node223             24                  (null)              gpu:0               62000               
bluemoon*           node224             24                  (null)              gpu:0               62000               
bigmem              node224             24                  (null)              gpu:0               62000               
short               node224             24                  (null)              gpu:0               62000               
bluemoon*           node225             24                  (null)              gpu:0               62000               
bigmem              node225             24                  (null)              gpu:0               62000               
short               node225             24                  (null)              gpu:0               62000               
bluemoon*           node226             24                  (null)              gpu:0               62000               
bigmem              node226             24                  (null)              gpu:0               62000               
short               node226             24                  (null)              gpu:0               62000               
bluemoon*           node227             24                  (null)              gpu:0               62000               
bigmem              node227             24                  (null)              gpu:0               62000               
short               node227             24                  (null)              gpu:0               62000               
bluemoon*           node228             24                  (null)              gpu:0               62000               
bigmem              node228             24                  (null)              gpu:0               62000               
short               node228             24                  (null)              gpu:0               62000               
bluemoon*           node229             24                  (null)              gpu:0               62000               
bigmem              node229             24                  (null)              gpu:0               62000               
short               node229             24                  (null)              gpu:0               62000               
bigmemwk            node230             24                  (null)              gpu:0               62000               
bluemoon*           node230             24                  (null)              gpu:0               62000               
bigmem              node230             24                  (null)              gpu:0               62000               
short               node230             24                  (null)              gpu:0               62000               
bigmemwk            node231             24                  (null)              gpu:0               62000               
bluemoon*           node231             24                  (null)              gpu:0               62000               
bigmem              node231             24                  (null)              gpu:0               62000               
short               node231             24                  (null)              gpu:0               62000               
bigmemwk            node232             24                  (null)              gpu:0               250000              
bluemoon*           node232             24                  (null)              gpu:0               250000              
bigmem              node232             24                  (null)              gpu:0               250000              
short               node232             24                  (null)              gpu:0               250000              
bigmemwk            node233             24                  (null)              gpu:0               250000              
bluemoon*           node233             24                  (null)              gpu:0               250000              
bigmem              node233             24                  (null)              gpu:0               250000              
short               node233             24                  (null)              gpu:0               250000              
bigmemwk            node234             24                  (null)              gpu:0               250000              
bluemoon*           node234             24                  (null)              gpu:0               250000              
bigmem              node234             24                  (null)              gpu:0               250000              
short               node234             24                  (null)              gpu:0               250000              
bigmemwk            node235             24                  (null)              gpu:0               250000              
bluemoon*           node235             24                  (null)              gpu:0               250000              
bigmem              node235             24                  (null)              gpu:0               250000              
short               node235             24                  (null)              gpu:0               250000              
bluemoon*           node236             24                  (null)              gpu:0               250000              
bigmem              node236             24                  (null)              gpu:0               250000              
short               node236             24                  (null)              gpu:0               250000              
bluemoon*           node237             24                  (null)              gpu:0               250000              
bigmem              node237             24                  (null)              gpu:0               250000              
short               node237             24                  (null)              gpu:0               250000              
bluemoon*           node238             24                  (null)              gpu:0               250000              
bigmem              node238             24                  (null)              gpu:0               250000              
short               node238             24                  (null)              gpu:0               250000              
bluemoon*           node239             24                  (null)              gpu:0               250000              
bigmem              node239             24                  (null)              gpu:0               250000              
short               node239             24                  (null)              gpu:0               250000              
bluemoon*           node250             40                  (null)              gpu:0               92000               
bigmem              node250             40                  (null)              gpu:0               92000               
short               node250             40                  (null)              gpu:0               92000               
bluemoon*           node251             40                  (null)              gpu:0               92000               
bigmem              node251             40                  (null)              gpu:0               92000               
short               node251             40                  (null)              gpu:0               92000               
bluemoon*           node252             40                  (null)              gpu:0               92000               
bigmem              node252             40                  (null)              gpu:0               92000               
short               node252             40                  (null)              gpu:0               92000               
bluemoon*           node253             40                  (null)              gpu:0               92000               
bigmem              node253             40                  (null)              gpu:0               92000               
short               node253             40                  (null)              gpu:0               92000               
bluemoon*           node254             40                  (null)              gpu:0               92000               
bigmem              node254             40                  (null)              gpu:0               92000               
short               node254             40                  (null)              gpu:0               92000               
bluemoon*           node255             40                  (null)              gpu:0               92000               
bigmem              node255             40                  (null)              gpu:0               92000               
short               node255             40                  (null)              gpu:0               92000               
bluemoon*           node256             40                  (null)              gpu:0               92000               
bigmem              node256             40                  (null)              gpu:0               92000               
short               node256             40                  (null)              gpu:0               92000               
bluemoon*           node257             40                  (null)              gpu:0               92000               
bigmem              node257             40                  (null)              gpu:0               92000               
short               node257             40                  (null)              gpu:0               92000               
bluemoon*           node258             40                  (null)              gpu:0               92000               
bigmem              node258             40                  (null)              gpu:0               92000               
short               node258             40                  (null)              gpu:0               92000               
bluemoon*           node400             12                  (null)              gpu:0               20000               
short               node400             12                  (null)              gpu:0               20000               
bluemoon*           node401             12                  (null)              gpu:0               20000               
short               node401             12                  (null)              gpu:0               20000               
bluemoon*           node402             12                  (null)              gpu:0               20000               
short               node402             12                  (null)              gpu:0               20000               
bluemoon*           node403             12                  (null)              gpu:0               20000               
short               node403             12                  (null)              gpu:0               20000               
bluemoon*           node404             12                  (null)              gpu:0               20000               
short               node404             12                  (null)              gpu:0               20000               
bluemoon*           node405             12                  (null)              gpu:0               20000               
short               node405             12                  (null)              gpu:0               20000               
bluemoon*           node406             12                  (null)              gpu:0               20000               
short               node406             12                  (null)              gpu:0               20000               
bluemoon*           node407             12                  (null)              gpu:0               20000               
short               node407             12                  (null)              gpu:0               20000               
bluemoon*           node408             12                  (null)              gpu:0               20000               
short               node408             12                  (null)              gpu:0               20000               
bluemoon*           node409             12                  (null)              gpu:0               20000               
short               node409             12                  (null)              gpu:0               20000               
bluemoon*           node410             12                  (null)              gpu:0               20000               
short               node410             12                  (null)              gpu:0               20000               
bluemoon*           node411             12                  (null)              gpu:0               20000               
short               node411             12                  (null)              gpu:0               20000               
bluemoon*           node412             12                  (null)              gpu:0               20000               
short               node412             12                  (null)              gpu:0               20000               
bluemoon*           node413             12                  (null)              gpu:0               20000               
short               node413             12                  (null)              gpu:0               20000               
bluemoon*           node414             12                  (null)              gpu:0               20000               
short               node414             12                  (null)              gpu:0               20000               
bluemoon*           node415             12                  (null)              gpu:0               20000               
short               node415             12                  (null)              gpu:0               20000               
bluemoon*           node416             12                  (null)              gpu:0               20000               
short               node416             12                  (null)              gpu:0               20000               
bluemoon*           node417             12                  (null)              gpu:0               20000               
short               node417             12                  (null)              gpu:0               20000               
bluemoon*           node419             12                  (null)              gpu:0               20000               
short               node419             12                  (null)              gpu:0               20000               
bluemoon*           node420             12                  (null)              gpu:0               20000               
short               node420             12                  (null)              gpu:0               20000               
bluemoon*           node421             12                  (null)              gpu:0               20000               
short               node421             12                  (null)              gpu:0               20000               
bluemoon*           node422             12                  (null)              gpu:0               20000               
short               node422             12                  (null)              gpu:0               20000               
bluemoon*           node423             12                  (null)              gpu:0               20000               
short               node423             12                  (null)              gpu:0               20000               
bluemoon*           node424             12                  (null)              gpu:0               20000               
short               node424             12                  (null)              gpu:0               20000               
bluemoon*           node425             12                  (null)              gpu:0               20000               
short               node425             12                  (null)              gpu:0               20000               
bluemoon*           node426             12                  (null)              gpu:0               20000               
short               node426             12                  (null)              gpu:0               20000               
bluemoon*           node427             12                  (null)              gpu:0               20000               
short               node427             12                  (null)              gpu:0               20000               
bluemoon*           node428             12                  (null)              gpu:0               20000               
short               node428             12                  (null)              gpu:0               20000               
bluemoon*           node429             12                  (null)              gpu:0               20000               
short               node429             12                  (null)              gpu:0               20000               
bluemoon*           node430             12                  (null)              gpu:0               20000               
short               node430             12                  (null)              gpu:0               20000               
bluemoon*           node431             12                  (null)              gpu:0               20000               
short               node431             12                  (null)              gpu:0               20000               
bluemoon*           node432             12                  (null)              gpu:0               20000               
short               node432             12                  (null)              gpu:0               20000               
bluemoon*           node434             12                  (null)              gpu:0               20000               
short               node434             12                  (null)              gpu:0               20000               
bluemoon*           node435             12                  (null)              gpu:0               20000               
short               node435             12                  (null)              gpu:0               20000               
bluemoon*           node436             12                  (null)              gpu:0               20000               
short               node436             12                  (null)              gpu:0               20000               
bluemoon*           node437             12                  (null)              gpu:0               20000               
short               node437             12                  (null)              gpu:0               20000               
bluemoon*           node438             12                  (null)              gpu:0               20000               
short               node438             12                  (null)              gpu:0               20000               
bluemoon*           node439             12                  (null)              gpu:0               20000               
short               node439             12                  (null)              gpu:0               20000               
bluemoon*           node441             12                  (null)              gpu:0               20000               
short               node441             12                  (null)              gpu:0               20000               
bluemoon*           node442             12                  (null)              gpu:0               20000               
short               node442             12                  (null)              gpu:0               20000               
bluemoon*           node443             12                  (null)              gpu:0               20000               
short               node443             12                  (null)              gpu:0               20000               
bluemoon*           node444             12                  (null)              gpu:0               20000               
short               node444             12                  (null)              gpu:0               20000               
bluemoon*           node445             12                  (null)              gpu:0               20000               
short               node445             12                  (null)              gpu:0               20000               
bluemoon*           node446             12                  (null)              gpu:0               20000               
short               node446             12                  (null)              gpu:0               20000               
bluemoon*           node448             12                  (null)              gpu:0               20000               
short               node448             12                  (null)              gpu:0               20000               
bluemoon*           node449             12                  (null)              gpu:0               20000               
short               node449             12                  (null)              gpu:0               20000               
bluemoon*           node450             12                  (null)              gpu:0               20000               
short               node450             12                  (null)              gpu:0               20000               
bluemoon*           node451             12                  (null)              gpu:0               20000               
short               node451             12                  (null)              gpu:0               20000               
bluemoon*           node452             12                  (null)              gpu:0               20000               
short               node452             12                  (null)              gpu:0               20000               
bluemoon*           node453             12                  (null)              gpu:0               20000               
short               node453             12                  (null)              gpu:0               20000               
bluemoon*           node454             12                  (null)              gpu:0               20000               
short               node454             12                  (null)              gpu:0               20000               
bluemoon*           node455             12                  (null)              gpu:0               20000               
short               node455             12                  (null)              gpu:0               20000               
bluemoon*           node456             12                  (null)              gpu:0               20000               
short               node456             12                  (null)              gpu:0               20000               
bluemoon*           node457             12                  (null)              gpu:0               20000               
short               node457             12                  (null)              gpu:0               20000               
bluemoon*           node458             12                  (null)              gpu:0               20000               
short               node458             12                  (null)              gpu:0               20000               
bluemoon*           node459             12                  (null)              gpu:0               20000               
short               node459             12                  (null)              gpu:0               20000               
bluemoon*           node460             12                  (null)              gpu:0               20000               
short               node460             12                  (null)              gpu:0               20000               
bluemoon*           node461             12                  (null)              gpu:0               20000               
short               node461             12                  (null)              gpu:0               20000               
bluemoon*           node462             12                  (null)              gpu:0               20000               
short               node462             12                  (null)              gpu:0               20000               
bluemoon*           node463             12                  (null)              gpu:0               20000               
short               node463             12                  (null)              gpu:0               20000               
bluemoon*           node464             12                  (null)              gpu:0               20000               
short               node464             12                  (null)              gpu:0               20000               
bluemoon*           node465             12                  (null)              gpu:0               20000               
short               node465             12                  (null)              gpu:0               20000               
bluemoon*           node466             12                  (null)              gpu:0               20000               
short               node466             12                  (null)              gpu:0               20000               
bluemoon*           node467             12                  (null)              gpu:0               20000               
short               node467             12                  (null)              gpu:0               20000               
bluemoon*           node468             12                  (null)              gpu:0               20000               
short               node468             12                  (null)              gpu:0               20000               
bluemoon*           node469             12                  (null)              gpu:0               20000               
short               node469             12                  (null)              gpu:0               20000               
week                node470             12                  (null)              gpu:0               20000               
bluemoon*           node470             12                  (null)              gpu:0               20000               
short               node470             12                  (null)              gpu:0               20000               
week                node471             12                  (null)              gpu:0               20000               
bluemoon*           node471             12                  (null)              gpu:0               20000               
short               node471             12                  (null)              gpu:0               20000               
week                node472             12                  (null)              gpu:0               20000               
bluemoon*           node472             12                  (null)              gpu:0               20000               
short               node472             12                  (null)              gpu:0               20000               
week                node473             12                  (null)              gpu:0               20000               
bluemoon*           node473             12                  (null)              gpu:0               20000               
short               node473             12                  (null)              gpu:0               20000               
week                node474             12                  (null)              gpu:0               20000               
bluemoon*           node474             12                  (null)              gpu:0               20000               
short               node474             12                  (null)              gpu:0               20000               
week                node475             12                  (null)              gpu:0               20000               
bluemoon*           node475             12                  (null)              gpu:0               20000               
short               node475             12                  (null)              gpu:0               20000               
week                node476             12                  (null)              gpu:0               20000               
bluemoon*           node476             12                  (null)              gpu:0               20000               
short               node476             12                  (null)              gpu:0               20000               
week                node477             12                  (null)              gpu:0               20000               
bluemoon*           node477             12                  (null)              gpu:0               20000               
short               node477             12                  (null)              gpu:0               20000               
week                node478             12                  (null)              gpu:0               20000               
bluemoon*           node478             12                  (null)              gpu:0               20000               
