JOBID               USER                PARTITION           NAME                TIME_LEFT           EXEC_HOST           TRES_PER_NODE       TRES_ALLOC          
3142820             cvanoort            week                ABMMS               3-09:32:17          node490             N/A                 cpu=1,mem=8G,node=1,
3142821             cvanoort            week                ABMMS               3-09:32:17          node495             N/A                 cpu=1,mem=8G,node=1,
3142787             cvanoort            week                ABMMS               3-07:03:48          node511             N/A                 cpu=1,mem=8G,node=1,
3142777             cvanoort            week                ABMMS               3-04:03:25          node214             N/A                 cpu=1,mem=8G,node=1,
3142779             cvanoort            week                ABMMS               3-04:03:25          node215             N/A                 cpu=1,mem=8G,node=1,
3142780             cvanoort            week                ABMMS               3-04:03:25          node215             N/A                 cpu=1,mem=8G,node=1,
3142784             cvanoort            week                ABMMS               3-04:03:25          node215             N/A                 cpu=1,mem=8G,node=1,
3142764             cvanoort            week                ABMMS               3-03:01:43          node471             N/A                 cpu=1,mem=8G,node=1,
3033260             rschirem            week                NADYUP              2-21:30:03          node211             N/A                 cpu=60,mem=128G,node
3177937             estassen            week                Align2              4-22:44:28          node211             N/A                 cpu=12,mem=21G,node=
3177936             estassen            week                Align1              4-08:04:36          node213             N/A                 cpu=12,mem=21G,node=
3190468             estassen            week                Align1              6-07:09:48          node213             N/A                 cpu=12,mem=24G,node=
3192478             estassen            week                Align1_169          6-07:54:22          node212             N/A                 cpu=12,mem=21G,node=
3189607             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189608             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189609             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189610             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189611             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189612             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189613             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189614             nsnichol            bdgpu               dse_he              14:13:48            bd-gpunode04        N/A                 cpu=4,mem=16G,node=1
3189591             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189592             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189593             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189594             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189595             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189596             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189597             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189598             nsnichol            bdgpu               dse_he              13:54:08            bd-gpunode03        N/A                 cpu=4,mem=16G,node=1
3189590             nsnichol            bdgpu               dse_he              13:53:50            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189589             nsnichol            bdgpu               dse_he              13:53:41            bd-gpunode05        N/A                 cpu=4,mem=16G,node=1
3189577             nsnichol            bdgpu               dse_he              13:14:17            bd-gpunode02        N/A                 cpu=4,mem=16G,node=1
